State,Account_Length,International_Plan,Number_Vmail_Messages,Total_Day_Charge,Total_Eve_Charge,Total_Night_Charge,Total_Intl_Charge,Customer_Service_Calls,Total_Charge,Churn
MD,135,1,41,29.43,17.33,5.5,3.94,0,56.2,1
WY,43,1,0,42.76,18.09,7.1,2.51,0,70.46,0
MN,113,1,0,21.28,17.54,5.82,2.24,0,46.88,0
MN,162,0,46,38.23,16,11.46,3.27,0,68.96,0
DC,82,0,0,51.05,15.39,12.15,3.16,0,81.75,1
VT,135,0,0,25.79,10.12,8.1,2.84,0,46.85,0
ME,36,1,42,33.46,21.67,6.22,5.4,0,66.75,1
TX,41,0,22,36.35,12.05,6.4,1.94,0,56.74,0
MD,120,0,39,34.05,18.73,11.42,2.84,0,67.04,0
LA,151,0,0,30.38,24.83,11.97,2.65,0,69.83,0
OH,83,0,0,57.36,19.33,6.93,4.27,0,87.89,1
VA,139,0,23,26.79,21,11.66,3.7,0,63.15,0
SC,87,0,0,23.17,14.64,6.19,1.92,0,45.92,0
VA,141,0,0,36.91,20.53,11.41,3.24,0,72.09,0
LA,179,0,0,37.26,12.7,11.01,1.65,0,62.62,0
MN,62,0,0,25.01,16.18,8.78,3.29,0,53.26,0
CO,107,0,0,22.75,15.34,5.05,2.4,0,45.54,0
MT,94,0,0,23.38,17.27,6.75,3.62,0,51.02,0
TN,78,0,0,25.45,15.49,11.77,2.62,0,55.33,0
DC,63,0,0,14.11,15.05,11.06,3.51,0,43.73,0
AZ,144,1,0,34.6,21.05,8.74,3.21,0,67.6,0
FL,93,0,0,25.74,15.84,7.76,2.94,0,52.28,0
AL,106,0,0,37.91,9.36,8.49,1.92,0,57.68,0
MD,93,1,0,53.04,11,9.79,2.84,0,76.67,1
NV,53,0,0,28.7,18.73,6.94,2.94,0,57.31,0
NJ,138,0,0,37.43,7.51,8.79,3.48,0,57.21,0
VA,108,0,0,33.75,22.76,15.97,2.54,0,75.02,1
SC,22,0,0,18.75,14.15,9.1,2.57,0,44.57,0
RI,107,0,37,10.2,8.69,11.78,3,0,33.67,0
IN,51,0,0,36.52,12.72,12.75,2.75,0,64.74,0
TX,97,1,0,24.43,23.21,8.02,2.94,0,58.6,0
PA,101,0,0,35.12,19.12,11.25,3.94,0,69.43,0
HI,148,1,0,37.21,17.68,9.15,3,0,67.04,0
AL,167,0,0,35.29,11.25,11.48,3.81,0,61.83,0
NE,132,0,0,16.92,10.97,5.63,2.62,0,36.14,0
AR,36,0,0,26.79,15.67,10.82,3.21,0,56.49,0
RI,112,0,0,33.05,16.18,8.25,3.08,0,60.56,0
VA,16,0,0,34.95,14.41,9.9,2.94,0,62.2,0
MA,73,0,0,16,23.83,9.23,2.65,0,51.71,0
ID,128,0,0,21.28,17.46,11.45,5.1,0,55.29,0
MA,86,0,0,29.97,22.03,12.93,1.67,0,66.6,0
VA,104,0,0,23.58,21.84,10.57,2.7,0,58.69,0
ME,100,0,30,10,18.66,6.85,1.92,0,37.43,0
IA,76,0,0,33.71,18.45,8.48,3.38,0,64.02,0
AZ,158,0,0,34.88,20.45,3.59,3.89,0,62.81,0
DE,108,0,0,28.83,22.45,9.28,2.51,0,63.07,0
SC,99,0,0,28.76,23.08,7.66,2.86,0,62.36,0
AK,78,0,0,38.27,16.93,7.9,3.94,0,67.04,0
IL,44,0,34,37.71,13.74,10.25,3.78,0,65.48,0
OK,194,0,0,27.59,18.16,8.64,2.94,0,57.33,0
MA,128,0,0,33.25,22.76,7.42,4.32,0,67.75,0
CA,151,1,0,37.06,9.72,12.11,3.35,0,62.24,1
OR,149,1,0,29.95,12.33,11.23,1.54,0,55.05,0
WI,16,0,0,39.03,17.48,7.48,2.92,0,66.91,1
TN,98,0,22,47.31,7.94,4.84,2.62,0,62.71,0
ID,74,0,0,37.59,9.42,10.8,2.86,0,60.67,0
WI,92,1,0,44.93,13.68,8.94,2.51,0,70.06,0
IL,21,0,0,24.82,9.32,11.13,1.84,0,47.11,0
OR,76,0,0,28.82,10.54,9.87,2.7,0,51.93,0
NJ,100,0,0,34.65,24.06,8.88,3.38,0,70.97,0
PA,61,0,31,49.08,17.32,9.14,2.32,0,77.86,0
OH,100,0,0,47.26,15.02,9.88,2.24,0,74.4,1
FL,99,0,0,26.4,22.58,6.56,3.35,0,58.89,0
KS,86,0,23,38.34,20.94,11.06,2.65,0,72.99,0
WA,109,0,0,31.28,10.23,6.92,2.97,0,51.4,0
NV,91,0,0,22.73,16.6,12.62,1.59,0,53.54,0
ND,105,0,23,32.9,18.72,12.26,2.3,0,66.18,0
MD,74,0,0,26.47,14.76,11.58,2.19,0,55,0
UT,36,0,16,25.4,11.2,5.97,1.81,0,44.38,0
IN,76,0,0,34.71,24.87,10.99,2.84,0,73.41,0
MI,109,1,26,36.92,12.37,12.63,2.51,0,64.43,0
NM,80,0,0,35.07,13.17,11.86,3.35,0,63.45,0
DE,30,0,30,36.96,18.17,10.22,1.78,0,67.13,0
AL,60,1,29,45.2,18.34,4.86,3.78,0,72.18,1
MI,30,0,0,38.66,15.51,8.63,3.38,0,66.18,0
DC,100,1,0,11.65,28.65,9.23,3.27,0,52.8,0
UT,190,0,22,28.31,15.56,5.44,2.3,0,51.61,0
CT,31,0,31,17.02,20.94,11.48,1.59,0,51.03,0
NJ,123,0,0,27.12,25.82,10.21,3.24,0,66.39,0
RI,53,0,18,24.96,26.35,8.04,1.94,0,61.29,0
SD,104,0,0,39.81,24.91,8.28,2.65,0,75.65,1
OH,75,0,46,36.4,17.08,11.11,2.48,0,67.07,0
MA,62,1,0,27.15,16.79,5.47,3.75,0,53.16,1
RI,129,0,0,23.72,24.59,5.82,3.54,0,57.67,0
WY,28,0,0,31.93,21.13,9.4,2.86,0,65.32,0
KS,110,1,0,49.86,16.02,12.01,3.92,0,81.81,1
DC,126,0,0,27.44,18.75,11.21,1.38,0,58.78,0
NJ,95,1,37,37.43,15.75,9.23,1.11,0,63.52,1
GA,76,0,0,50.92,19.27,9.48,3.7,0,83.37,1
TX,140,0,0,33.12,14.53,10.13,3.75,0,61.53,0
MT,169,0,0,17.14,19.55,8.71,2.57,0,47.97,0
NC,64,0,19,30.62,10.84,10.68,2.03,0,54.17,0
DE,106,0,0,21.86,11.39,9.48,3.08,0,45.81,0
IL,83,0,0,33.15,17.89,8.13,2.97,0,62.14,0
OK,49,0,0,36.35,22.53,10.79,4.21,0,73.88,0
WI,131,0,39,11.75,8.61,4.72,2.46,0,27.54,0
VA,34,0,0,25.67,11.17,8.4,2.67,0,47.91,0
NE,63,0,0,35.9,20.2,11.66,3.32,0,71.08,0
GA,101,0,33,34.02,16.06,9.23,4.19,0,63.5,0
IL,151,0,0,29.8,12.27,7.21,3.19,0,52.47,0
MA,42,0,0,41,9.9,6.85,2.86,0,60.61,0
NY,65,0,0,33.22,15.4,8.03,2.4,0,59.05,0
NH,37,0,0,35.02,15.81,13.82,2.27,0,66.92,0
IA,98,0,0,36.86,16.22,8.44,2.97,0,64.49,0
WV,121,0,0,17.56,10.97,7.52,2.89,0,38.94,0
RI,94,0,0,23.7,13.52,5.77,2.08,0,45.07,0
CT,100,0,38,30.11,13.91,10.92,2,0,56.94,0
NE,66,0,0,5.78,23.68,5.83,3.11,0,38.4,0
MO,101,0,29,20.59,15.84,10.88,2.73,0,50.04,0
FL,120,0,31,26.1,18.62,10.68,3.08,0,58.48,0
PA,122,1,0,39.25,20.67,8.21,2.97,0,71.1,1
ID,77,0,0,32.22,17.6,9.63,2.48,0,61.93,0
AL,61,0,20,43.25,13.74,11.31,2.84,0,71.14,0
SD,85,0,0,35.67,16.53,9.02,3.05,0,64.27,0
FL,84,0,0,32.47,27.1,11.13,1.76,0,72.46,0
MT,72,0,0,43.01,18.64,9.49,2.65,0,73.79,0
AL,83,0,0,34.39,17.13,4.58,1.84,0,57.94,0
WV,137,0,0,29.65,13.29,6.14,2.75,0,51.83,0
OH,61,1,16,24.4,20.62,6.65,3.05,0,54.72,0
FL,58,0,0,39.92,9.08,8.03,2.67,0,59.7,0
WI,166,0,0,29.56,23.49,8.59,4.13,0,65.77,0
MN,80,0,0,17.99,3.73,8.53,3.54,0,33.79,0
IL,81,0,31,35.77,19.17,7.59,2.62,0,65.15,0
NC,64,1,33,21.62,13.85,11.13,2.19,0,48.79,0
ME,149,0,0,40.39,16.35,9.33,2.46,0,68.53,0
WA,166,0,0,46.63,4.5,11.07,2.94,0,65.14,0
OH,119,0,27,37.42,22.8,6.59,3,0,69.81,0
MD,42,0,0,33.41,20.51,6.44,1.08,0,61.44,0
OH,123,0,0,17.85,21.39,11.61,4.02,0,54.87,0
DC,103,0,31,18.31,16.06,8.83,2.4,0,45.6,0
MN,103,0,0,33.75,3.61,8.06,3.35,0,48.77,0
DC,108,0,35,36.7,17.05,8.79,4.19,0,66.73,0
VA,72,1,29,23.77,11.75,9.95,1.49,0,46.96,0
WI,73,0,0,36.41,16.73,7.11,1.59,0,61.84,0
NC,127,0,25,13.97,13.88,11.92,1.38,0,41.15,0
NJ,42,0,32,27.85,15.11,8.57,2.19,0,53.72,0
MO,179,0,0,48.84,24.48,11.97,2.84,0,88.13,1
HI,72,0,0,18.55,9.83,13.31,2.24,0,43.93,0
NV,143,0,0,35.55,9.02,8.08,3.78,0,56.43,0
UT,81,0,24,22.12,16.66,6.27,3.08,0,48.13,0
OH,74,0,0,23.24,19.43,11.94,2.65,0,57.26,0
NE,91,0,37,27.59,19.88,12.48,2.48,0,62.43,0
DE,117,0,0,28.7,20.52,9.22,4.19,0,62.63,0
VT,126,0,0,38.45,11.93,9.4,1.73,0,61.51,0
NV,144,1,0,25.5,24.3,8.58,2.54,0,60.92,0
MA,97,0,0,36.99,27.24,6.78,1.13,0,72.14,0
AZ,73,0,0,29.82,21.09,5.51,3.29,0,59.71,0
WV,43,0,0,39.13,15.87,5.78,2.48,0,63.26,0
SC,93,0,0,32.33,22.29,5.85,2.38,0,62.85,0
OH,137,0,0,24.48,15.44,5.76,3.32,0,49,0
KY,104,0,0,22.19,11.15,11.91,3.51,0,48.76,0
OR,161,0,0,17.92,18.26,10.06,2.11,0,48.35,0
SC,38,0,31,33.52,21.24,13.45,1.05,0,69.26,0
TN,70,0,0,21.47,12.04,11.52,2.59,0,47.62,0
IL,179,0,0,19.74,17.15,8.19,3.13,0,48.21,0
ND,59,0,0,30.5,19.76,7.91,3.97,0,62.14,0
NC,165,0,0,35.31,14.01,2.45,2.13,0,53.9,0
OH,102,0,0,19.52,6.96,13.69,3.24,0,43.41,0
AL,122,0,0,39.53,17.47,9.62,3.21,0,69.83,0
LA,154,0,0,28.37,13.17,8.52,1.94,0,52,0
RI,87,1,0,22.81,14.03,7.79,2.89,0,47.52,0
IN,161,0,38,40.87,17.15,9.27,4.35,0,71.64,0
FL,91,1,24,15.9,15.59,10.83,2.67,0,44.99,0
RI,158,0,0,37.55,20.59,10.5,1.73,0,70.37,0
NV,102,0,0,24.55,22.65,9.79,1.92,0,58.91,0
UT,85,0,0,36.09,19.41,7.35,2.08,0,64.93,0
NC,103,0,0,44.78,15.22,9.66,2.78,0,72.44,0
GA,92,0,0,35.36,16.91,3.44,2.32,0,58.03,0
NY,68,0,29,40.72,17.32,7.55,2.67,0,68.26,0
KS,117,0,25,36.72,19.05,12.06,3.19,0,71.02,0
PA,124,0,0,28.46,19.82,4.93,2.78,0,55.99,0
NH,110,0,0,27.54,21.04,7,2.4,0,57.98,0
OH,114,0,0,32.56,14.89,9.91,0,0,57.36,0
IN,105,0,42,17.32,18.96,10.87,3.48,0,50.63,0
AL,131,0,0,26.08,16.87,7.4,2.81,0,53.16,0
KS,52,0,0,28.14,17.47,9.61,3.29,0,58.51,0
ID,82,0,0,17.17,13.23,13.7,3.59,0,47.69,0
ID,31,0,0,30.14,12.99,7.33,1.38,0,51.84,0
MN,95,0,32,44.57,14.04,8.74,2.86,0,70.21,0
HI,119,0,24,36.92,11.79,6.27,3.05,0,58.03,0
TX,47,0,28,19.07,13.16,7.5,2.86,0,42.59,0
AK,173,0,0,29.33,12.12,4.59,2.94,0,48.98,0
VT,50,1,26,52.21,24.6,7.87,2.16,0,86.84,0
IA,134,0,32,36.86,8.69,7.83,2.32,0,55.7,0
SC,72,0,0,35.33,16.63,8.32,3.54,0,63.82,0
TN,130,0,12,24.12,19.46,8.78,2.35,0,54.71,0
HI,87,0,28,24.4,19,7.89,3.02,0,54.31,0
NE,149,0,0,26.52,4.76,7.35,2.4,0,41.03,0
LA,162,0,33,31.37,15.57,5.73,3.32,0,55.99,0
CO,105,0,0,46.05,19.23,8.05,2.38,0,75.71,1
KS,24,0,0,41.31,15.63,8.29,4.13,0,69.36,1
NE,91,0,0,27.03,21.68,3.71,2.73,0,55.15,0
IA,42,0,0,26.42,13.95,7.1,2.43,0,49.9,0
MT,74,0,0,27.66,24.82,8.25,2.35,0,63.08,0
AL,111,0,0,29.99,17.09,6.77,3.02,0,56.87,0
NY,163,0,0,42.11,22.91,7.53,2.59,0,75.14,1
NC,58,0,0,19.07,17.82,11.74,3.75,0,52.38,1
MN,109,0,0,27.64,13.09,9.44,3.11,0,53.28,0
OR,129,0,0,16.66,20.46,11.47,2.84,0,51.43,0
CA,92,0,0,42.4,17.98,7.61,2.46,0,70.45,0
VT,120,0,0,37.62,22.75,5.02,2.51,0,67.9,0
GA,76,0,0,34.61,13.74,7.92,2.27,0,58.54,0
VA,87,0,0,29.17,17.43,7.68,3.73,0,58.01,0
NH,111,0,0,33.51,19.36,9.63,2.51,0,65.01,0
WY,97,1,0,40.27,13.4,10.85,1.97,0,66.49,1
MD,73,0,0,43.3,7.67,6.9,2.86,0,60.73,0
NC,111,0,0,38.23,16.31,10.35,2.78,0,67.67,0
WA,55,0,0,48.57,19.63,10.38,4,0,82.58,1
WA,136,0,16,15.37,17.11,10.22,3.54,0,46.24,0
ME,123,0,0,19.45,18.41,11.28,2.97,0,52.11,0
MI,97,0,32,28.63,19.2,8.63,2.3,0,58.76,0
VT,84,0,42,36.43,16,15.01,3.05,0,70.49,0
AZ,113,0,0,13.82,18.75,10.61,2.4,0,45.58,0
SD,20,0,35,29.16,13.01,7.45,1.92,0,51.54,0
KY,126,0,0,29.82,8.36,9.09,2.86,0,50.13,0
NJ,1,0,30,31.13,19.77,11.17,2.27,0,64.34,0
LA,99,0,0,24.19,17.38,9.14,2.46,0,53.17,0
MN,37,0,20,45,18.4,9.48,2.81,0,75.69,0
WA,78,0,0,23.92,16.59,11.38,3.16,0,55.05,0
IL,89,1,19,19.14,22.24,5.56,3,0,49.94,1
VT,122,0,0,23.24,20.66,8.5,2.32,0,54.72,0
GA,160,0,0,29.63,14.56,9.94,2.24,0,56.37,0
NV,93,0,0,19.43,18.79,5.68,2.94,0,46.84,0
VA,95,0,0,33.49,16.18,9.54,4.35,0,63.56,0
SC,145,0,0,6.72,22.47,8.36,2.7,0,40.25,0
UT,195,0,0,10.74,18.72,8.28,1.38,0,39.12,0
DE,67,1,35,30.79,18.35,9.73,4.56,0,63.43,1
RI,123,0,27,37.18,13.89,7.82,4.05,0,62.94,0
OH,75,0,0,25.6,25.63,7.14,2.19,0,60.56,0
PA,140,0,0,19.18,13.32,11.23,4.4,0,48.13,0
WI,78,0,0,14.79,16.46,9.26,2.97,0,43.48,0
CT,103,0,0,27.23,11.81,14.06,2.62,0,55.72,0
UT,116,0,44,39.2,19.05,10.98,3,0,72.23,0
VT,128,0,32,37.89,22.27,8.61,2.92,0,71.69,0
NH,50,0,0,26.3,25.33,9.46,3,0,64.09,0
IA,36,0,0,19.91,20.01,9.96,2.43,0,52.31,0
OH,143,0,0,37.96,14.2,9.14,1.22,0,62.52,1
CA,103,0,18,25.48,14.53,7.72,3.11,0,50.84,1
AR,95,0,0,11.8,16.22,9.9,2.4,0,40.32,0
PA,128,1,0,41.68,8.63,6.85,2.89,0,60.05,0
DC,81,1,0,38.66,17.98,11.62,3.21,0,71.47,0
MI,225,0,0,28.12,23.26,9.45,2.35,0,63.18,1
CO,86,0,0,37.03,18.25,10.29,3.05,0,68.62,0
CA,37,0,0,32.49,10.98,9.34,3.48,0,56.29,0
CT,123,0,0,21.88,10,8.93,2.92,0,43.73,0
WV,94,0,0,14.6,19.27,12.58,4.21,0,50.66,0
NC,73,0,31,33.05,14.96,10.35,3.11,0,61.47,0
WI,120,0,29,41.53,27.4,7.51,2.86,0,79.3,0
SD,78,0,25,33.56,25.13,9.53,3.56,0,71.78,0
MI,115,0,26,26.38,19.63,11.77,1.22,0,59,0
AR,99,1,0,41.19,29.83,7.34,3.05,0,81.41,1
CT,95,0,0,33.73,20.05,14.65,2.73,0,71.16,0
VT,57,0,0,28.83,19.95,12.84,3.02,0,64.64,0
RI,83,0,20,16.15,14.27,9.03,3.02,0,42.47,0
TN,67,0,0,30.57,14.72,12.28,2.94,0,60.51,0
ID,104,1,0,25.19,13.75,11.67,2.97,0,53.58,0
ND,154,0,35,38.08,16.32,7.34,2.59,0,64.33,0
SC,138,0,21,3.32,11.98,8.09,2.13,0,25.52,0
WI,100,0,38,38.2,24.99,13.05,2.65,0,78.89,0
NY,87,0,0,34.82,13.69,12.86,2.57,0,63.94,0
MN,173,0,0,49.61,18.22,6.8,2.67,0,77.3,1
VA,102,0,0,29.67,20.13,12.17,2.3,0,64.27,0
MA,132,0,36,34.32,13.29,5.91,3.7,0,57.22,0
UT,78,0,0,32.83,14.63,5.83,2.75,0,56.04,0
WV,93,0,0,24.09,18.79,10.22,2.75,0,55.85,0
OK,82,0,0,56.07,17.71,12.02,2.86,0,88.66,1
FL,133,0,0,34.29,14.4,12.88,1.62,0,63.19,0
